Project number,The date,Region,The town/village,Home address,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy audit number,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
PME2-1902,16.02.2023,Rīgas,Jaunmārupe,Kārkliņu iela 21,Mārupes novads,2016,158.4,331.82,2.36,140.6,2,0,1,0,D,133,111,28.8,1,1,0,0,BIS-ĒED-2-2023-1060,C,75,22,5,0,0,103,36,30,32.43,129,135,0,3.03,21.53,431,0.3,0.3,1,1.23,19.4,25,0.49,0.13,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
PME2-1826,11.01.2023,Zemgales,Jelgava,Dārzkopju iela 12,Jelgava,2007,244.97,615.01,2.64,232.96,2,0,0,0,D,144.41,124.1,5.46,1,1,0,0,BIS-ĒED-2-2023-15,C,88,20,1,0,20,129,36.1,15.41,29.09,43,135,0,1.37,5.86,668,0.29,0.3,1.1,1.12,20,0,0.47,0.39,Solid biofuel,Centralized heat supply from a specific supplier,Centralized heat supply from a specific supplier,-,Electricity from the grid,Electricity from the grid,-,40,37.8,37.8,-,109,109,-,0.2,0.15,0.15,-,1.9,1.9,-,1,0.55,0.55,-,0.6,0.6,-,1.2,0.7,0.7,-,2.5,2.5,-
PME2-1792,30.12.2022,Rīgas,Ikšķile,Pārbrauktuves iela 3   ,Ogres novads,2017,212.5,316.75,2.18,145.3,2,1,1,0,D,118.7,96.3,5.75,0,1,0,0,BIS-ĒED-2-2023-1064,B,62,22,6,0,0,91,34.3,27.7,35.62,35,137,0,0.69,4.78,348,0.3,0.29,0.78,0.95,20,25,0.53,0.14,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME2-1734,05.12.2022,Rīgas,"Garciems, Carnikavas pagasts",Palejas iela 12A,Ādažu novads,1982,79.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,37.76,1,0,0,0,BIS-ĒED-2-2022-6368,C,80,18,1,0,0,98,72.46,72.17,47.53,120,121,0,1.4,21.97,178,0.36,0.31,1.28,1.56,20,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME2-1657,14.11.2022,Rīgas,Garciems,Palejas iela 12,Ādažu novads,1982,69.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,38.2,1,0,0,0,BIS-ĒED-2-2022-6367,C,88,18,1,0,0,106,64.46,64.17,42.28,130,131,0,1.52,23.8,187,0.37,0.33,1.44,1.74,20,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME2-1637,10.11.2022,Rīgas,Jaunmārupe,Vītolu iela 12,"Mārupes  pagasts, Mārupes novads",2019,161.6,417.61,2.89,144.5,1,0,0,0,D,151,129,5.03,1,1,0,0,BIS-ĒED-2-2023-128,C,82,22,7,0,0,112,47,39,36.43,75,171,0,0.63,4.35,524,0.26,0.31,0.99,1.41,20,25,0.48,0.13,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
PME2-1620,08.11.2022,Rīgas,Jaunmārupe,Vītolu iela 25,Mārupes novads,2020,176.8,420.66,3.42,123,1,0,0,0,D,126.5,106.1,23.1,0,1,0,0,BIS-ĒED-2-2023-127,B,60,20,8,0,0,89,46.1,37.5,43.45,101,109,0,1.9,15.48,450,0.18,0.24,0.72,1.15,20,25,0.46,0.14,Electricity from the grid,Gas,Gas,Electricity from the grid,Electricity from the grid,-,-,109,202,202,109,109,-,-,1.9,1.1,1.1,1.9,1.9,-,-,0.6,0,0,0.6,0.6,-,-,2.5,1.1,1.1,2.5,2.5,-,-
PME2-1619,07.11.2022,Zemgales,Ozolnieki,Egļu iela 20,"Ozolnieku pagasts, Jelgavas novads",2021,121.3,333.58,2.75,121.3,1,0,0,0,D,156.8,127,7.57,0,1,0,0,BIS-ĒED-2-2022-6216,C,89,30,7,0,0,125,38,31.8,29.92,45,187,0,0.79,6.49,536,0.24,0.27,1.13,1.62,20,25,0.48,0.16,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME2-186,02.11.2022,Rīgas,Salaspils pagasts,"""JAUNSTRAZDIŅI""","Salaspils pagasts, Salaspils novads",2010,365.7,443.44,2.3,192.8,2,1,1,0,D,158.6,125.1,9.75,1,0,0,0,BIS-ĒED-2-2023-587,C,69,25,0,0,8,103,56.1,55.6,44.84,158,178,0,0.96,4.97,479,0.25,0.3,0.66,0.92,20,20,0.4,0.31,Wood/wood waste,,Electricity from the grid,,,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
PME2-1597,02.11.2022,Kurzemes,Liepāja,Saldus iela 26,Liepāja,1958,118.9,292.5,2.6,112.5,2,0,0,0,D,129.02,108.92,28.96,1,1,1,0,BIS-ĒED-2-2023-1488,C,86,20,3,0,0,109,22.92,20.02,21.04,73,167,0,0.48,4.22,468,0.35,0.26,1.73,1.8,20,27,0.25,0.21,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,Electricity from the grid,-,-,0,109,0,109,109,-,-,0,1.9,0,1.9,1.9,-,-,1,0.6,1,0.6,0.6,-,-,1,2.5,1,2.5,2.5,-,-
